outputRoot	checkSquareSize	probeDiam	rotationDeg	whiteRefl	blackRefl	centerRefl	backgroundRefl	shadowSteepness	brightLight	blobSd	paraTheta	imageRows	nChecks	CENTERPROBE	EMBED	ROT90	embedRows	embedCols
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions1	140	70	0	0.95	0.2	0.1	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions1	140	70	0	0.95	0.2	0.3	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions1	140	70	0	0.95	0.2	0.5	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions1	140	70	0	0.95	0.2	0.7	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions1	140	70	0	0.95	0.3	0.3	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.2	0.8	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.4	0.4	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.6	0.27	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.2	1	0.5	4	0.8	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.4	0.5	0.5	4	0.8	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions2	140	70	0	0.95	0.6	0.33	0.5	4	0.8	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions3	140	70	0	0.95	0.4	0.4	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions3	140	70	0	0.95	0.4	0.1	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.4	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	70	35	0	0.95	0.4	0.4	0.5	4	1	0	0	350	5	1	1	0	700	700
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	70	35	0	0.95	0.4	0.1	0.5	4	1	0	0	350	5	1	1	0	700	700
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.4	0.5	4	1	0	0	700	5	1	0	1	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.1	0.5	4	1	0	0	700	5	1	0	1	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.3	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.2	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.5	0.5	4	1	0	0	700	5	1	0	0	1400	1400
/Users1/Shared/Matlab/Experiments/LightnessV4/stimuli/parametricConditions4	140	70	0	0.95	0.4	0.6	0.5	4	1	0	0	700	5	1	0	0	1400	1400
